name,price,link,discounts,product-image
RANG Patike zion GG,"5.999,99 RSD",https://planetasport.rs/rang-patike-zion-gg-ygf23201-01.html,"['-40%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/y/g/ygf23201-01.jpg?v=b7b2cdb46b']
RANG Patike ever GG,"5.999,99 RSD",https://planetasport.rs/rang-patike-ever-gg-ygf23202-96.html,"['-40%', '-17%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/y/g/ygf23202-96.jpg?v=44db391879']
SERGIO TACCHINI Trenerka eliza tracksuit W,"11.999,99 RSD",https://planetasport.rs/trenerka-eliza-tracksuit-w-sta233f401-01.html,['-34%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/s/t/sta233f401-01.jpg?v=f02aa6a6c7']
LOTTO Patike mirage 600 iii alr W,"7.999,99 RSD",https://planetasport.rs/patike-mirage-600-iii-alr-w-219741-73p.html,"['-30%', '-29%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/1/219741-73p.jpg?v=6d4d49756c']
ADIDAS Cipele terrex trailmaker mid r.rdy k gPG,"11.999,99 RSD",https://planetasport.rs/cipele-terrex-trailmaker-mid-r-rdy-k-bg-hq5807.html,"['-40%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/q/hq5807.jpg?v=8c8aa812c5']
COLUMBIA Jakna puffect™ mid hooded jacket W,"18.599,99 RSD",https://planetasport.rs/jakna-puffecttm-mid-hooded-jacketw-1864791010.html,"['-20%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/8/1864791010.jpg?v=af34feaf36']
PUMA Čizme snowbae patent pack W,"9.999,99 RSD",https://planetasport.rs/cizme-snowbae-patent-pack-w-393931-01.html,"['-19%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/9/393931-01.jpg?v=96f0340a1d']
NIKE Patike air max sc GG,"9.899,99 RSD",https://planetasport.rs/patike-air-max-sc-gg-cz5358-115.html,"['-30%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/c/z/cz5358-115.jpg?v=7755a3416b']
LOTTO Patike astra amf W,"9.499,99 RSD",https://planetasport.rs/patike-astra-amf-w-220012-1cl.html,"['-50%', '-43%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/2/220012-1cl.jpg?v=7b0142ba44']
ADIDAS Donji deo trenerke w lin ft cf pt W,"5.399,99 RSD",https://planetasport.rs/donji-deo-w-lin-ft-cf-pt-w-il3362.html,"['-14%', '-17%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/l/il3362.jpg?v=41d3d22674']
ADIDAS Rukavice tiro l gloves U,"2.399,99 RSD",https://planetasport.rs/rukavice-tiro-l-gloves-u-hs9760.html,['-20%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/s/hs9760.jpg?v=889d85a588']
LOTTO Jakna cortina w iv hd W,"12.699,99 RSD",https://planetasport.rs/jakna-bomber-cortina-w-iv-hd-w-220272-1cl.html,"['-40%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/2/220272-1cl.jpg?v=a07bfc1b46']
LOTTO Jakna lungo corvara W,"13.499,99 RSD",https://planetasport.rs/jakna-lungo-corvara-w-220271-1cl.html,"['-50%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/2/220271-1cl.jpg?v=324df2e991']
LOTTO Jakna cortina w iv hd W,"12.699,99 RSD",https://planetasport.rs/jakna-bomber-cortina-w-iv-hd-w-220272-9c9.html,"['-50%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/2/220272-9c9.jpg?v=a9cec37d25']
LOTTO Jakna cortina w iv hd W,"12.699,99 RSD",https://planetasport.rs/jakna-bomber-cortina-w-iv-hd-w-220272-n03.html,"['-40%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/2/220272-n03.jpg?v=20a15dbfc3']
RIEKER Cipele revolution w0060 W,"14.499,99 RSD",https://planetasport.rs/revolution-cipele-w0060-w-w0060-00.html,['-18%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/0/w0060-00.jpg?v=dc687279ec']
ADIDAS Duks sa kapuljačom hoodie W,"10.799,99 RSD",https://planetasport.rs/duks-sa-kapuljacom-hoodie-w-hm1784.html,['-19%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/m/hm1784.jpg?v=c71089e62d']
ADIDAS Duks sa kapuljačom hoodie logo W,"8.399,99 RSD",https://planetasport.rs/duks-sa-kapuljacom-hoodie-logo-w-hk5193.html,"['-20%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/k/hk5193.jpg?v=43cfaf7ffd']
ADIDAS Duks sa kapuljačom hoodie W,"9.999,99 RSD",https://planetasport.rs/duks-sa-kapuljacom-hoodie-w-hk5210.html,"['-40%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/k/hk5210.jpg?v=6322ce0033']
ADIDAS Donji deo trenerke wide leg sp W,"8.399,99 RSD",https://planetasport.rs/donji-deo-wide-leg-sp-w-ht5964.html,"['-18%', '-19%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/t/ht5964.jpg?v=0f9def6935']
SKECHERS Patike tres-air W,"10.999,99 RSD",https://planetasport.rs/patike-tres-air-w-177421-bbk.html,"['-9%', '-27%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/7/177421-bbk.jpg?v=e4833beb06']
SKECHERS Patike tres-air W,"10.999,99 RSD",https://planetasport.rs/patike-tres-air-w-177421-olv.html,"['-13%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/7/177421-olv.jpg?v=e2d2105f2a']
SKECHERS Patike uno lite W,"8.499,99 RSD",https://planetasport.rs/patike-uno-lite-w-177288-mve.html,"['-20%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/7/177288-mve.jpg?v=fe58efd15c']
SKECHERS Patike uno stand on air W,"10.499,99 RSD",https://planetasport.rs/patike-uno-stand-on-air-w-73690-teal.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/7/3/73690-teal.jpg?v=ebdc7dae96']
SKECHERS Patike uno W,"10.999,99 RSD",https://planetasport.rs/patike-uno-w-177105-pkor.html,"['-20%', '-13%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/7/177105-pkor.jpg?v=1fbc8caf9e']
SKECHERS Patike uno stand on air W,"10.499,99 RSD",https://planetasport.rs/patike-uno-stand-on-air-w-73690-rst.html,"['-18%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/7/3/73690-rst.jpg?v=bfa1e3da7a']
ADIDAS Japanke eezay flip flop W,"2.399,99 RSD",https://planetasport.rs/japanke-eezay-flip-flop-w-fy8112.html,['-48%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/f/y/fy8112.jpg?v=ec2b5a7007']
FLY LONDON papuče W,"17.099,99 RSD",https://planetasport.rs/papuce-fly-london-w-p144946003.html,"['-31%', '-37%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/p/1/p144946003.jpg?v=fa9463907b']
FLY LONDON papuče W,"17.099,99 RSD",https://planetasport.rs/papuce-fly-london-w-p144946001.html,"['-31%', '-37%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/p/1/p144946001.jpg?v=7046c11562']
SPEEDO Kupaći kostim banded tri 2pc alv prt af W,"6.199,99 RSD",https://planetasport.rs/kupaci-kostim-banded-tri-2pc-alv-prt-af-w-800313115195.html,"['-19%', '-10%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/0/800313115195.jpg?v=7f94e65ed3']
ADIDAS Patike court jam control W,"10.799,99 RSD",https://planetasport.rs/patike-court-jam-control-w-hq8473.html,"['-42%', '-14%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/q/hq8473.jpg?v=da55f8ec94']
ADIDAS Patike run 70s k GG,"5.999,99 RSD",https://planetasport.rs/patike-run-70s-k-gg-gw0235.html,"['-6%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/w/gw0235.jpg?v=6176d97b14']
ADIDAS Papuče adilette aqua k GG,"2.399,99 RSD",https://planetasport.rs/papuce-adilette-aqua-k-gg-gv7850.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/v/gv7850.jpg?v=0a94b3dffe']
ADIDAS Donji deo trenerke w 3s ft c pt W,"5.999,99 RSD",https://planetasport.rs/donji-deo-w-3s-ft-c-pt-w-gm8736.html,"['-17%', '-23%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/m/gm8736.jpg?v=1d5290caea']
