name,price,link,discounts,product-image
ADIDAS Patike racer tr23 k BG,"7.199,99 RSD",https://planetasport.rs/patike-racer-tr23-k-bg-ig4911.html,"['-25%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig4911.jpg?v=deab3bfac0']
NEW BALANCE patike 327 GG,"8.799,99 RSD",https://planetasport.rs/patike-327-gg-gs327cwb.html,"['-20%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/s/gs327cwb.jpg?v=183ef63369']
ADIDAS Patike breaknet mickey cf i BT,"4.799,99 RSD",https://planetasport.rs/patike-breaknet-mickey-cf-i-bt-ig7161.html,"['-27%', '-9%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig7161.jpg?v=46520b1241']
ADIDAS Patike racer tr23 el i BT,"5.999,99 RSD",https://planetasport.rs/patike-racer-tr23-el-i-bt-ig4916.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig4916.jpg?v=5f11be805d']
SKECHERS Patike slip ins galaxy lights GP,"7.999,99 RSD",https://planetasport.rs/patike-galaxy-lights-gp-303707l-bkmt.html,"['-30%', '-6%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/0/303707l-bkmt.jpg?v=92eb9358de']
SKECHERS Patike uno gen1 GG,"7.999,99 RSD",https://planetasport.rs/patike-uno-gen1-gg-310538l-nat.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/1/310538l-nat.jpg?v=8efbffefb5']
SKECHERS Patike uno lite lovely luv GG,"7.499,99 RSD",https://planetasport.rs/patike-uno-lite-lovely-luv-gg-314976l-bkmt.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/1/314976l-bkmt.jpg?v=82ef891031']
SKECHERS Patike s-lights remix GP,"9.999,99 RSD",https://planetasport.rs/patike-s-lights-remix-gp-310103l-lav.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/3/1/310103l-lav.jpg?v=b8d7946fdb']
NIKE Patike air max systm BT,"9.099,99 RSD",https://planetasport.rs/patike-air-max-systm-bt-dq0286-400.html,['-23%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/d/q/dq0286-400.jpg?v=9665e1516b']
NIKE Patike court borough low recraft BT,"5.199,99 RSD",https://planetasport.rs/patike-court-borough-low-recraft-bt-dv5458-002.html,"['-9%', '-22%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/d/v/dv5458-002.jpg?v=1089ef9ba9']
NIKE Patike court borough low recraft GP,"5.899,99 RSD",https://planetasport.rs/patike-court-borough-low-recraft-gp-dv5457-103.html,"['-15%', '-15%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/d/v/dv5457-103.jpg?v=4a9f12254b']
NIKE Patike air max systm BP,"9.799,99 RSD",https://planetasport.rs/patike-air-max-systm-bp-dq0285-400.html,"['-9%', '-6%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/d/q/dq0285-400.jpg?v=c35534245f']
NIKE Patike court borough mid 2 BT,"5.899,99 RSD",https://planetasport.rs/patike-court-borough-mid-2-bt-cd7784-113.html,['-15%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/c/d/cd7784-113.jpg?v=8bbcbddfb3']
ADIDAS Patike run 70s cf k BP,"5.999,99 RSD",https://planetasport.rs/patike-run-70s-cf-k-bp-gw0334p.html,['-40%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/w/gw0334p.jpg?v=920fa47124']
ADIDAS Patike nebzed k GG,"5.999,99 RSD",https://planetasport.rs/patike-nebzed-k-gg-ig7252.html,['-27%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig7252.jpg?v=a6be5a1e2a']
ADIDAS Patike hoops mid 3.0 k BG,"5.999,99 RSD",https://planetasport.rs/duboke-patike-hoops-mid-3-0-k-bg-gz9647.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/z/gz9647.jpg?v=8efd960547']
